u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
1584894941,1584894937,0,145023973,False,양덕로6번길,residential,48.993,"LINESTRING (129.4082078 36.0801414, 129.4076903 36.0800028)",,,,,,
1584894941,1584894997,0,145023978,False,,residential,164.822,"LINESTRING (129.4082078 36.0801414, 129.4077937 36.0815854)",,,,,,
1584894942,1584894946,0,145023973,False,양덕로6번길,residential,46.594,"LINESTRING (129.4086982 36.0802771, 129.4091919 36.0804051)",,,,,,
1584894942,1584894941,0,145023973,False,양덕로6번길,residential,46.582,"LINESTRING (129.4086982 36.0802771, 129.4082078 36.0801414)",,,,,,
1584894942,1584894999,0,145023976,False,,residential,160.84,"LINESTRING (129.4086982 36.0802771, 129.4082588 36.0816793)",,,,,,
1584894946,1584894950,0,145023973,False,양덕로6번길,residential,48.484,"LINESTRING (129.4091919 36.0804051, 129.409704 36.0805423)",,,,,,
1584894946,1584894942,0,145023973,False,양덕로6번길,residential,46.594,"LINESTRING (129.4091919 36.0804051, 129.4086982 36.0802771)",,,,,,
1584894946,1584895001,0,145023983,False,,residential,158.503,"LINESTRING (129.4091919 36.0804051, 129.4087458 36.0817842)",,,,,,
1584894948,4729817253,0,143912222,False,신덕로,secondary,270.044,"LINESTRING (129.4112572 36.0803992, 129.4098029 36.0825244)",,,,,,
1584894948,436911817,0,143912222,False,신덕로,secondary,67.119,"LINESTRING (129.4112572 36.0803992, 129.4116112 36.0798677)",,,,,,
1584894948,1584894939,0,143914408,False,양덕남로,tertiary,130.80100000000002,"LINESTRING (129.4112572 36.0803992, 129.4107621 36.0802464, 129.4098733 36.0800378)",,,,,,
1584894950,1584894946,0,145023973,False,양덕로6번길,residential,48.484,"LINESTRING (129.409704 36.0805423, 129.4091919 36.0804051)",,,,,,
1584894950,1584895012,0,145023996,False,장량로262번길,residential,153.196,"LINESTRING (129.409704 36.0805423, 129.4092789 36.0818765)",,,,,,
1584894950,1584894939,0,145023996,False,장량로262번길,residential,58.124,"LINESTRING (129.409704 36.0805423, 129.4098733 36.0800378)",,,,,,
1584894951,4719410970,0,143910585,False,천마로45번길,residential,86.028,"LINESTRING (129.3969268 36.0806528, 129.3959696 36.0806632)",,,,,,
1584894951,4634113406,0,145024314,False,천마로,secondary,109.149,"LINESTRING (129.3969268 36.0806528, 129.3969264 36.0796712)",,,,,,
1584894951,4634113404,0,145024314,False,천마로,secondary,63.479,"LINESTRING (129.3969268 36.0806528, 129.3968855 36.0812227)",,,,,,
1584894951,1584894953,0,145024018,False,천마로46번길,residential,66.528,"LINESTRING (129.3969268 36.0806528, 129.3975105 36.0806915, 129.3976651 36.0806944)",,,,,,
1584894953,1584894931,0,145024006,False,장량로158번길,residential,120.377,"LINESTRING (129.3976651 36.0806944, 129.3976894 36.079612)",,,,,,
1584894953,5323894148,0,145024006,False,장량로158번길,residential,52.584,"LINESTRING (129.3976651 36.0806944, 129.3976669 36.0811673)",,,,,,
1584894953,1584894955,0,145024018,False,천마로46번길,residential,50.923,"LINESTRING (129.3976651 36.0806944, 129.3982316 36.0807049)",,,,,,
1584894953,1584894951,0,145024018,False,천마로46번길,residential,66.528,"LINESTRING (129.3976651 36.0806944, 129.3975105 36.0806915, 129.3969268 36.0806528)",,,,,,
1584894955,1584894918,0,145023979,False,,residential,185.823,"LINESTRING (129.3982316 36.0807049, 129.3982586 36.0790339)",,,,,,
1584894955,1584894953,0,145024018,False,천마로46번길,residential,50.923,"LINESTRING (129.3982316 36.0807049, 129.3976651 36.0806944)",,,,,,
1584894955,1584894958,0,145024018,False,천마로46번길,residential,52.685,"LINESTRING (129.3982316 36.0807049, 129.3988177 36.0807158)",,,,,,
1584894958,1584894919,0,145023981,False,,residential,186.591,"LINESTRING (129.3988177 36.0807158, 129.3988658 36.0790382)",,,,,,
1584894958,1584894955,0,145024018,False,천마로46번길,residential,52.685,"LINESTRING (129.3988177 36.0807158, 129.3982316 36.0807049)",,,,,,
1584894958,4719413685,0,145024018,False,천마로46번길,residential,58.647,"LINESTRING (129.3988177 36.0807158, 129.3994703 36.0807141)",,,,,,
1584894962,1584894922,0,145023988,False,,residential,186.246,"LINESTRING (129.4000453 36.0807389, 129.4000985 36.0790645)",,,,,,
1584894962,4719413685,0,145024018,False,천마로46번길,residential,51.747,"LINESTRING (129.4000453 36.0807389, 129.3994703 36.0807141)",,,,,,
1584894962,1584894964,0,145024018,False,천마로46번길,residential,54.196,"LINESTRING (129.4000453 36.0807389, 129.4006482 36.0807504)",,,,,,
1584894964,1584894923,0,145023986,False,,residential,185.694,"LINESTRING (129.4006482 36.0807504, 129.4006791 36.0790806)",,,,,,
1584894964,1584894962,0,145024018,False,천마로46번길,residential,54.196,"LINESTRING (129.4006482 36.0807504, 129.4000453 36.0807389)",,,,,,
1584894964,1584894966,0,145024018,False,천마로46번길,residential,51.132,"LINESTRING (129.4006482 36.0807504, 129.401217 36.0807618)",,,,,,
